==================================================
=== 积分计算结果 ===
==================================================
计算时间: 603.80分钟
积分结果: -0.01081349 ± 0.00000319
相对误差: 0.0295%
Q值: 0.3797

详细信息:
itn   integral        average         chi2/dof        Q
-------------------------------------------------------
  1   -0.010815(45)   -0.010815(45)       0.00     1.00
  2   -0.010822(45)   -0.010819(32)       0.01     0.92
  3   -0.010898(45)   -0.010845(26)       1.04     0.35
  4   -0.010836(45)   -0.010843(23)       0.70     0.55
  5   -0.010760(45)   -0.010826(20)       1.21     0.30
  6   -0.010843(45)   -0.010829(18)       0.99     0.42
  7   -0.010859(45)   -0.010833(17)       0.89     0.50
  8   -0.010756(45)   -0.010824(16)       1.13     0.34
  9   -0.010768(45)   -0.010817(15)       1.16     0.32
 10   -0.010809(45)   -0.010817(14)       1.03     0.41
 11   -0.010782(45)   -0.010813(14)       0.98     0.46
 12   -0.010788(45)   -0.010811(13)       0.92     0.52
 13   -0.010792(45)   -0.010810(12)       0.86     0.59
 14   -0.010813(46)   -0.010810(12)       0.79     0.67
 15   -0.010762(45)   -0.010807(12)       0.81     0.66
 16   -0.010792(45)   -0.010806(11)       0.76     0.72
 17   -0.010843(45)   -0.010808(11)       0.75     0.74
 18   -0.010798(45)   -0.010808(11)       0.71     0.79
 19   -0.010785(45)   -0.010806(10)       0.69     0.83
 20   -0.010789(45)   -0.010805(10)       0.66     0.86
 21   -0.010804(45)   -0.0108054(98)      0.62     0.90
 22   -0.010805(45)   -0.0108054(96)      0.60     0.93
 23   -0.010899(45)   -0.0108095(94)      0.76     0.78
 24   -0.010805(45)   -0.0108093(92)      0.72     0.83
 25   -0.010854(45)   -0.0108111(90)      0.73     0.82
 26   -0.010831(45)   -0.0108118(88)      0.71     0.85
 27   -0.010796(45)   -0.0108113(87)      0.69     0.88
 28   -0.010822(45)   -0.0108116(85)      0.66     0.91
 29   -0.010767(45)   -0.0108101(84)      0.67     0.90
 30   -0.010765(45)   -0.0108086(82)      0.68     0.90
 31   -0.010820(45)   -0.0108090(81)      0.66     0.92
 32   -0.010807(45)   -0.0108089(80)      0.64     0.94
 33   -0.010862(45)   -0.0108105(79)      0.66     0.93
 34   -0.010742(45)   -0.0108085(77)      0.71     0.89
 35   -0.010798(45)   -0.0108082(76)      0.69     0.91
