==================================================
=== 积分计算结果 ===
==================================================
计算时间: 3.68分钟
积分结果: 0.02693375 ± 0.01858786
相对误差: 69.0133%
Q值: 0.1713

详细信息:
itn   integral        average         chi2/dof        Q
-------------------------------------------------------
  1   0.090(79)       0.090(79)           0.00     1.00
  2   -0.054(78)      0.018(56)           1.67     0.20
  3   0.078(80)       0.038(46)           1.02     0.36
  4   -0.158(93)      -0.011(41)          2.02     0.11
  5   0.19(10)        0.029(39)           2.42     0.05
  6   0.19(10)        0.056(37)           2.36     0.04
  7   0.055(79)       0.056(33)           2.03     0.06
  8   0.093(79)       0.060(31)           1.80     0.08
  9   -0.033(78)      0.050(29)           1.74     0.08
 10   -0.058(79)      0.039(27)           1.74     0.08
 11   0.073(89)       0.042(26)           1.56     0.11
 12   0.005(82)       0.039(25)           1.45     0.14
 13   0.034(80)       0.039(24)           1.34     0.19
 14   -0.056(84)      0.032(23)           1.33     0.19
 15   -0.129(78)      0.021(22)           1.49     0.11
 16   -0.063(78)      0.016(21)           1.46     0.11
 17   0.010(78)       0.016(20)           1.38     0.14
 18   0.095(79)       0.020(20)           1.36     0.14
 19   0.099(78)       0.024(19)           1.34     0.15
 20   0.080(79)       0.027(19)           1.30     0.17

==================================================
