==================================================
=== 积分计算结果 ===
==================================================
计算时间: 667.93分钟
积分结果: -0.00019470 ± 0.00111406
相对误差: 572.2072%
Q值: 0.6586

详细信息:
itn   integral        average          chi2/dof        Q
--------------------------------------------------------
  1   -0.030(16)      -0.030(16)           0.00     1.00
  2   0.001(16)       -0.014(11)           2.05     0.15
  3   -0.003(16)      -0.0106(90)          1.21     0.30
  4   -0.006(16)      -0.0095(78)          0.83     0.48
  5   -0.023(16)      -0.0123(70)          0.78     0.54
  6   0.009(16)       -0.0088(64)          0.93     0.46
  7   0.006(16)       -0.0067(59)          0.89     0.50
  8   -0.020(16)      -0.0083(55)          0.85     0.54
  9   -0.006(16)      -0.0081(52)          0.75     0.65
 10   -0.010(16)      -0.0083(50)          0.67     0.74
 11   0.001(16)       -0.0075(47)          0.63     0.79
 12   0.005(18)       -0.0065(46)          0.61     0.82
 13   0.012(16)       -0.0050(44)          0.67     0.78
 14   0.023(16)       -0.0030(42)          0.84     0.62
 15   0.019(16)       -0.0016(41)          0.91     0.55
 16   0.016(16)       -0.0004(40)          0.93     0.53
 17   -0.003(16)      -0.0006(38)          0.87     0.60
 18   -0.005(16)      -0.0008(37)          0.83     0.67
 19   0.012(16)       -0.0002(36)          0.82     0.68
 20   -0.011(16)      -0.0007(35)          0.80     0.71
 21   0.005(16)       -0.0004(34)          0.76     0.76
 22   -0.011(16)      -0.0009(34)          0.75     0.79
 23   0.024(16)       0.0002(33)           0.83     0.70
 24   0.017(16)       0.0009(32)           0.84     0.69
 25   -0.003(16)      0.0007(32)           0.80     0.74
 26   -0.012(16)      0.0002(31)           0.80     0.75
 27   0.019(16)       0.0009(30)           0.82     0.73
 28   -0.007(16)      0.0006(30)           0.80     0.76
 29   -0.004(16)      0.0005(29)           0.77     0.80
 30   0.015(16)       0.0009(29)           0.77     0.80
 31   0.030(16)       0.0019(28)           0.86     0.69
 32   -0.020(16)      0.0012(28)           0.89     0.64
 33   -0.008(16)      0.0009(27)           0.87     0.67
 34   -0.008(16)      0.0006(27)           0.86     0.70
 35   -0.0002(157)    0.0006(27)           0.83     0.74
 36   0.005(16)       0.0007(26)           0.81     0.78
 37   -0.021(16)      0.0002(26)           0.84     0.74
 38   0.010(16)       0.0004(26)           0.83     0.76
 39   -0.019(16)      -0.00007(253)        0.84     0.74
 40   0.024(16)       0.0005(25)           0.88     0.68
 41   -0.010(16)      0.0003(25)           0.87     0.70
 42   0.022(16)       0.0008(24)           0.89     0.66
 43   -0.016(16)      0.0004(24)           0.90     0.66
 44   -0.003(16)      0.0003(24)           0.88     0.69
 45   0.024(16)       0.0008(24)           0.91     0.64
 46   0.034(16)       0.0016(23)           0.99     0.50
 47   0.016(16)       0.0019(23)           0.98     0.50
 48   0.008(16)       0.0020(23)           0.97     0.54
 49   0.003(16)       0.0020(23)           0.95     0.58
 50   -0.013(16)      0.0017(22)           0.95     0.58
 51   0.009(16)       0.0019(22)           0.93     0.61
 52   -0.021(16)      0.0015(22)           0.95     0.57
 53   -0.008(16)      0.0013(22)           0.94     0.59
 54   0.0005(157)     0.0013(21)           0.92     0.63
 55   -0.0005(156)    0.0012(21)           0.91     0.67
 56   0.001(16)       0.0012(21)           0.89     0.70
 57   0.030(16)       0.0017(21)           0.93     0.62
 58   -0.002(16)      0.0017(21)           0.92     0.65
 59   -0.006(16)      0.0015(21)           0.91     0.68
 60   -0.0006(157)    0.0015(20)           0.89     0.71
 61   -0.005(16)      0.0014(20)           0.88     0.74
 62   -0.019(16)      0.0010(20)           0.89     0.71
 63   -0.007(16)      0.0009(20)           0.88     0.73
 64   -0.022(16)      0.0006(20)           0.90     0.69
 65   -0.012(16)      0.0004(20)           0.90     0.70
 66   -0.009(16)      0.0002(19)           0.89     0.73
 67   -0.013(16)      0.00003(192)         0.89     0.73
 68   -0.012(16)      -0.0002(19)          0.88     0.74
 69   0.003(16)       -0.0001(19)          0.87     0.77
 70   0.011(16)       0.00005(188)         0.86     0.78
 71   0.035(16)       0.0005(19)           0.92     0.66
 72   -0.009(16)      0.0004(19)           0.91     0.68
 73   -0.010(16)      0.0003(18)           0.91     0.70
 74   0.027(16)       0.0006(18)           0.93     0.64
 75   -0.019(16)      0.0004(18)           0.94     0.62
 76   -0.013(16)      0.0002(18)           0.94     0.63
 77   -0.016(16)      -0.00001(180)        0.94     0.63
 78   0.005(16)       0.00005(178)         0.93     0.66
 79   0.019(16)       0.0003(18)           0.94     0.64
 80   -0.007(16)      0.0002(18)           0.93     0.66
 81   -0.011(16)      0.00006(175)         0.92     0.68
 82   -0.017(16)      -0.0001(17)          0.92     0.67
 83   0.028(16)       0.0002(17)           0.95     0.60
 84   -0.001(16)      0.0002(17)           0.94     0.63
 85   0.002(16)       0.0002(17)           0.93     0.66
 86   0.014(16)       0.0004(17)           0.93     0.67
 87   0.020(16)       0.0006(17)           0.93     0.65
 88   -0.007(16)      0.0005(17)           0.93     0.67
 89   0.0004(157)     0.0005(17)           0.92     0.70
 90   -0.002(16)      0.0005(17)           0.91     0.73
 91   -0.022(16)      0.0002(17)           0.92     0.70
 92   0.025(16)       0.0005(16)           0.93     0.66
 93   0.005(16)       0.0005(16)           0.93     0.68
 94   -0.004(16)      0.0005(16)           0.92     0.70
 95   0.028(16)       0.0008(16)           0.94     0.65
 96   0.004(16)       0.0008(16)           0.93     0.68
 97   -0.003(16)      0.0008(16)           0.92     0.70
 98   0.017(16)       0.0009(16)           0.92     0.70
 99   0.008(16)       0.0010(16)           0.91     0.72
100   0.003(16)       0.0010(16)           0.90     0.74
101   -0.016(16)      0.0009(16)           0.91     0.74
102   -0.022(16)      0.0006(16)           0.92     0.71
103   -0.004(16)      0.0006(16)           0.91     0.73
104   -0.009(16)      0.0005(15)           0.90     0.75
105   0.0004(157)     0.0005(15)           0.90     0.77
106   0.006(16)       0.0006(15)           0.89     0.79
107   -0.020(16)      0.0004(15)           0.90     0.77
108   -0.031(16)      0.00007(151)         0.92     0.70
109   0.027(16)       0.0003(15)           0.94     0.65
110   0.022(16)       0.0005(15)           0.95     0.62
111   0.015(16)       0.0006(15)           0.95     0.63
112   -0.026(16)      0.0004(15)           0.97     0.58
113   -0.006(16)      0.0003(15)           0.96     0.60
114   -0.004(16)      0.0003(15)           0.95     0.62
115   -0.003(16)      0.0003(15)           0.95     0.65
116   -0.013(16)      0.0002(15)           0.94     0.65
117   -0.031(16)      -0.0001(15)          0.97     0.58
118   0.004(16)       -0.00006(145)        0.96     0.60
119   0.005(16)       -0.00002(144)        0.95     0.62
120   -0.024(16)      -0.0002(14)          0.96     0.59
121   0.013(16)       -0.0001(14)          0.96     0.60
122   0.015(16)       0.00002(142)         0.96     0.60
123   0.002(16)       0.00004(142)         0.95     0.62
124   -0.005(16)      -0.000004(1412)      0.95     0.65
125   0.002(16)       0.00002(141)         0.94     0.67
126   0.007(16)       0.00007(140)         0.93     0.69
127   -0.021(16)      -0.00009(140)        0.94     0.67
128   0.014(16)       0.00002(139)         0.94     0.67
129   -0.014(16)      -0.00009(138)        0.94     0.68
130   0.004(16)       -0.00006(138)        0.93     0.70
131   -0.006(16)      -0.0001(14)          0.93     0.72
132   0.023(16)       0.00007(137)         0.93     0.69
133   -0.011(16)      -0.00002(136)        0.93     0.70
134   0.0002(160)     -0.00001(136)        0.92     0.73
135   0.014(16)       0.00009(135)         0.92     0.73
136   -0.004(16)      0.00006(135)         0.92     0.75
137   -0.039(21)      -0.0002(13)          0.95     0.65
138   0.006(16)       -0.0002(13)          0.94     0.67
139   0.011(16)       -0.0001(13)          0.94     0.68
140   -0.030(16)      -0.0003(13)          0.96     0.62
141   0.003(16)       -0.0003(13)          0.95     0.64
142   0.014(16)       -0.0002(13)          0.95     0.64
143   0.017(16)       -0.00008(132)        0.95     0.64
