==================================================
=== 积分计算结果 ===
==================================================
计算时间: 1307.99分钟
积分结果: -0.00029252 ± 0.00052293
相对误差: 178.7681%
Q值: 0.9844

详细信息:
itn   integral        wgt average     chi2/dof        Q
-------------------------------------------------------
  1   -0.030(16)      -0.030(16)          0.00     1.00
  2   -0.003(11)      -0.0118(89)         2.08     0.15
  3   0.012(11)       -0.0026(70)         2.39     0.09
  4   0.0006(110)     -0.0017(59)         1.61     0.18
  5   0.003(11)       -0.0007(52)         1.24     0.29
  6   0.017(11)       0.0026(47)          1.45     0.20
  7   -0.007(11)      0.0011(43)          1.32     0.24
  8   -0.008(11)      -0.0001(40)         1.21     0.29
  9   -0.012(11)      -0.0016(38)         1.21     0.29
 10   0.006(11)       -0.0008(35)         1.12     0.35
 11   -0.009(11)      -0.0016(34)         1.05     0.40
 12   0.012(11)       -0.0004(32)         1.08     0.37
 13   0.013(11)       0.0007(31)          1.11     0.35
 14   -0.007(11)      0.00010(296)        1.06     0.39
 15   0.009(11)       0.0007(28)          1.02     0.43
 16   0.008(11)       0.0012(28)          0.99     0.47
 17   0.003(11)       0.0013(27)          0.93     0.54
 18   0.013(11)       0.0020(26)          0.94     0.53
 19   -0.0001(106)    0.0019(25)          0.89     0.59
 20   0.012(11)       0.0024(24)          0.89     0.60
 21   -0.006(11)      0.0020(24)          0.87     0.63
 22   0.005(11)       0.0022(23)          0.83     0.68
 23   0.017(11)       0.0029(23)          0.88     0.62
 24   -0.012(11)      0.0022(22)          0.92     0.57
 25   -0.003(11)      0.0020(22)          0.89     0.61
 26   -0.011(11)      0.0015(21)          0.91     0.59
 27   -0.011(11)      0.0010(21)          0.93     0.56
 28   0.005(11)       0.0011(20)          0.90     0.61
 29   0.002(11)       0.0011(20)          0.87     0.66
 30   -0.004(11)      0.0009(20)          0.85     0.70
 31   0.007(11)       0.0012(19)          0.83     0.72
 32   -0.002(11)      0.0011(19)          0.81     0.76
 33   -0.006(10)      0.0008(19)          0.80     0.78
 34   0.016(10)       0.0013(18)          0.83     0.74
 35   0.014(11)       0.0017(18)          0.85     0.71
 36   0.008(10)       0.0019(18)          0.84     0.74
 37   -0.009(10)      0.0016(18)          0.84     0.74
 38   0.009(11)       0.0017(17)          0.83     0.76
 39   0.004(10)       0.0018(17)          0.81     0.79
 40   -0.010(10)      0.0015(17)          0.82     0.78
 41   -0.018(10)      0.0010(17)          0.88     0.68
 42   -0.014(10)      0.0007(17)          0.91     0.64
 43   -0.0002(105)    0.0006(16)          0.89     0.68
 44   -0.006(11)      0.0005(16)          0.88     0.70
 45   0.016(10)       0.0008(16)          0.91     0.65
 46   -0.020(10)      0.0004(16)          0.97     0.53
 47   0.003(10)       0.0004(16)          0.95     0.57
 48   0.002(10)       0.0005(15)          0.93     0.61
 49   -0.007(10)      0.0003(15)          0.92     0.63
 50   -0.002(10)      0.0003(15)          0.90     0.67
 51   -0.005(10)      0.0001(15)          0.89     0.70
 52   0.005(10)       0.0002(15)          0.88     0.72
 53   -0.010(10)      0.00005(146)        0.88     0.72
 54   -0.014(10)      -0.0002(14)         0.89     0.70
 55   0.003(10)       -0.0002(14)         0.88     0.73
 56   -0.008(10)      -0.0003(14)         0.87     0.74
 57   0.0001(104)     -0.0003(14)         0.86     0.77
 58   -0.009(10)      -0.0004(14)         0.85     0.78
 59   -0.008(10)      -0.0006(14)         0.85     0.79
 60   0.008(11)       -0.0004(14)         0.84     0.80
 61   0.0004(104)     -0.0004(14)         0.83     0.83
 62   0.001(10)       -0.0004(13)         0.82     0.85
 63   -0.0008(104)    -0.0004(13)         0.80     0.87
 64   0.011(10)       -0.0002(13)         0.81     0.86
 65   0.002(10)       -0.0002(13)         0.80     0.88
 66   0.009(11)       -0.00004(131)       0.80     0.88
 67   -0.007(10)      -0.0001(13)         0.79     0.89
 68   0.005(10)       -0.00007(129)       0.78     0.91
 69   0.001(10)       -0.00005(128)       0.77     0.92
 70   0.002(10)       -0.00002(127)       0.76     0.93
 71   -0.005(10)      -0.00009(126)       0.75     0.94
 72   -0.0006(104)    -0.00009(125)       0.74     0.95
 73   -0.025(10)      -0.0004(12)         0.81     0.88
 74   -0.012(10)      -0.0006(12)         0.81     0.87
 75   0.004(10)       -0.0005(12)         0.81     0.89
 76   0.009(10)       -0.0004(12)         0.81     0.89
 77   0.012(10)       -0.0003(12)         0.81     0.88
 78   -0.005(10)      -0.0003(12)         0.81     0.89
 79   -0.001(10)      -0.0003(12)         0.80     0.91
 80   0.005(10)       -0.0003(12)         0.79     0.92
 81   0.0009(104)     -0.0002(12)         0.78     0.93
 82   0.002(10)       -0.0002(12)         0.77     0.94
 83   -0.005(10)      -0.0003(12)         0.76     0.95
 84   -0.016(10)      -0.0005(12)         0.78     0.93
 85   0.019(10)       -0.0002(11)         0.81     0.89
 86   0.004(10)       -0.0002(11)         0.81     0.90
 87   0.011(10)       -0.00006(113)       0.81     0.90
 88   0.004(10)       -0.000009(1126)     0.80     0.91
 89   -0.002(10)      -0.00003(112)       0.79     0.92
 90   -0.020(10)      -0.0003(11)         0.83     0.88
 91   -0.010(10)      -0.0004(11)         0.83     0.88
 92   0.003(10)       -0.0003(11)         0.82     0.90
 93   0.007(10)       -0.0003(11)         0.81     0.90
 94   -0.005(10)      -0.0003(11)         0.81     0.91
 95   0.005(10)       -0.0003(11)         0.80     0.92
 96   -0.019(10)      -0.0005(11)         0.83     0.89
 97   -0.007(10)      -0.0005(11)         0.82     0.90
 98   0.005(10)       -0.0005(11)         0.82     0.90
 99   0.007(10)       -0.0004(11)         0.81     0.91
100   -0.003(10)      -0.0004(11)         0.81     0.92
101   0.009(10)       -0.0003(10)         0.81     0.92
102   0.003(10)       -0.0003(10)         0.80     0.93
103   0.019(10)       -0.0001(10)         0.82     0.90
104   -0.010(10)      -0.0002(10)         0.82     0.90
105   0.005(10)       -0.0001(10)         0.82     0.91
106   -0.0008(105)    -0.0002(10)         0.81     0.92
107   0.003(10)       -0.0001(10)         0.80     0.93
108   0.002(10)       -0.00010(101)       0.80     0.94
109   0.013(10)       0.00003(101)        0.81     0.93
110   -0.010(10)      -0.00007(100)       0.81     0.93
111   0.009(10)       0.00001(100)        0.81     0.93
112   -0.014(10)      -0.0001(10)         0.81     0.92
113   0.011(10)       -0.000007(991)      0.82     0.92
114   0.002(10)       0.00001(99)         0.81     0.93
115   -0.002(10)      -0.000008(982)      0.80     0.94
116   -0.004(10)      -0.00005(98)        0.80     0.95
117   -0.005(10)      -0.00009(97)        0.79     0.95
118   -0.018(10)      -0.00025(97)        0.81     0.93
119   -0.002(10)      -0.00026(96)        0.81     0.94
120   -0.015(10)      -0.00038(96)        0.81     0.93
121   -0.011(10)      -0.00047(96)        0.82     0.93
122   0.002(10)       -0.00045(95)        0.81     0.94
123   0.006(10)       -0.00040(95)        0.81     0.94
124   -0.014(10)      -0.00051(94)        0.81     0.94
125   -0.011(10)      -0.00059(94)        0.81     0.94
126   0.005(10)       -0.00055(94)        0.81     0.94
127   0.009(10)       -0.00047(93)        0.81     0.94
128   -0.013(10)      -0.00058(93)        0.82     0.94
129   0.012(10)       -0.00048(93)        0.82     0.93
130   -0.009(10)      -0.00055(92)        0.82     0.93
131   -0.006(10)      -0.00059(92)        0.82     0.94
132   0.001(10)       -0.00057(91)        0.81     0.95
133   -0.0002(104)    -0.00057(91)        0.80     0.95
134   -0.016(10)      -0.00069(91)        0.81     0.94
135   -0.006(10)      -0.00072(90)        0.81     0.95
136   0.006(10)       -0.00067(90)        0.81     0.95
137   -0.009(10)      -0.00074(90)        0.80     0.95
138   -0.003(10)      -0.00075(89)        0.80     0.96
139   0.009(10)       -0.00068(89)        0.80     0.96
140   -0.025(10)      -0.00086(89)        0.83     0.92
141   -0.003(10)      -0.00088(88)        0.83     0.93
